customer_id,customer_name,email,product_id,product_name,category,rating,review_title,review_text,review_date,helpful_votes,total_votes,feedback_category
CUST00014,Phillip Clark,brandon37@example.net,PROD2607,Shoes,Electronics,4,Recommended,Works well. Writer could offer radio group market think paper government letter fight.,2026-01-26,35.0,87,Positive
CUST00015,Michelle Carrillo,hughesjesus@example.net,PROD2700,Laptop,Home,2,,Poor quality. Machine whole station doctor push cut well because.,2026-01-21,14.0,27,Critical
CUST00016,Bryan Walker,cynthiamay@example.net,PROD8508,Backpack,Fashion,1,Broken on arrival,Broken on arrival. Unit rate herself low girl rise serve among responsibility return.,2024-10-04,11.0,57,Critical
CUST00017,Vicki Underwood,donaldallen@example.net,PROD5044,Tablet,Accessories,1,Broken on arrival,Very disappointed. We central available tax protect probably forget goal attack their west light especially.,2025-01-20,25.0,72,Critical
CUST00018,Jennifer Mullins,richardskenneth@example.org,PROD3220,Watch,Fashion,3,Neutral experience,Decent quality. Special show foreign foreign coach shoulder forget detail land sign.,2025-03-03,32.0,88,Neutral
CUST00019,Craig Erickson,cmurray@example.com,PROD7757,Backpack,Accessories,3,Neutral experience,Average product. Only power adult easy sort sing least remember deal large common prepare.,2025-03-29,24.0,79,Neutral
CUST00020,David Robertson,cynthia00@example.net,PROD8850,Smartphone,Electronics,5,Best purchase ever,Excellent product. Budget almost reality consumer event best property account sell increase teach citizen.,2026-05-29,22.0,41,Positive
CUST00021,Sharon Hobbs,dballard@example.net,PROD5306,Headphones,Accessories,2,Bad experience,Bad experience. Recent arrive none list memory soon street happy writer green.,2025-04-23,44.0,69,Critical
CUST00022,James Jordan,reidcody@example.org,PROD8169,Watch,Electronics,3,Average product,Okay for the price. Run too miss full north of.,2025-09-02,19.0,78,Neutral
CUST00023,Scott Hahn,lori65@example.com,PROD1467,Tablet,Accessories,4,Good product,Nice quality. Activity performance stage each meet can after set.,2026-03-29,49.0,74,Positive
CUST00024,Lauren Hernandez,nicole84@example.org,PROD2655,Headphones,Home,4,Works well,Nice quality. After letter stand doctor cultural operation think expect gas.,2025-08-27,1.0,71,Positive
CUST00025,Cathy Ayers,nguyenamanda@example.net,PROD9624,Watch,Fashion,5,Best purchase ever,Loved it. However drop computer choose herself debate wear evening either.,2026-03-13,23.0,96,Positive
CUST00026,Kristin Clark,estradacorey@example.com,PROD9080,Tablet,Electronics,1,Very disappointed,Broken on arrival. Center yard night research particularly partner through ability letter area commercial.,2026-06-12,2.0,10,Critical
CUST00027,Raymond Thornton,daniel76@example.com,PROD4651,Shoes,Accessories,3,Neutral experience,Average product. Arrive once tough task born high already.,2025-01-05,15.0,82,Neutral
CUST00028,Carol Lambert,sullivanmatthew@example.org,PROD7232,Watch,Home,2,Arrived late,Poor quality. Throw per page along year consider.,2025-03-18,12.0,94,Critical
CUST00029,Jason Hall,acherry@example.com,PROD8547,Tablet,Accessories,1,Terrible quality,Very disappointed. Shoulder party social instead consumer may professional.,2025-06-10,,31,Critical
CUST00030,Lisa Watkins,kshannon@example.com,PROD3883,Headphones,Accessories,3,Neutral experience,Neutral experience. Watch election political if tend arrive follow there leg attack a build parent.,2025-09-01,43.0,49,Neutral
CUST00031,Tracie Martinez,akaiser@example.org,PROD6013,Camera,Home,5,Best purchase ever,,2025-12-26,41.0,91,Positive
CUST00032,Donald Phillips,washingtonmitchell@example.org,PROD5310,Backpack,Fashion,4,Works well,Nice quality. Source big catch toward night care always gas floor move voice any choice front.,2024-09-24,18.0,38,Positive
CUST00033,Nancy Henry PhD,umurphy@example.org,PROD2920,Backpack,Fashion,4,Nice quality,Good product. Particular water sure save we cell do fly trial amount unit charge run.,2025-10-03,26.0,66,Positive
CUST00034,Gavin Ward,pcox@example.com,PROD1635,Laptop,Electronics,1,Terrible quality,Very disappointed. Goal develop through movement always side enjoy anyone compare work girl nor.,2026-05-29,24.0,57,Critical
CUST00035,Mr. Jonathan Walker,ewright@example.org,PROD6336,Camera,Fashion,3,Works fine,Average product. Direction whom later old culture street hour.,2024-07-15,49.0,53,Neutral
CUST00036,Megan Montoya,kyleholmes@example.org,PROD7038,Tablet,Fashion,3,Average product,Decent quality. Half religious I second issue argue sit now vote car newspaper.,2024-08-04,31.0,60,Neutral
CUST00037,Pamela Harris,wrighttina@example.com,PROD4401,Camera,Electronics,3,Neutral experience,Decent quality. Chair pay close I amount bring inside personal skill water tough.,2026-04-12,6.0,74,Neutral
CUST00038,Mrs. Ashley Hunter,thomas01@example.net,PROD4426,Camera,Fashion,3,Neutral experience,Okay for the price. Activity discuss chair property government after human kitchen director performance Mr.,2024-10-04,2.0,48,Neutral
CUST00039,Michael Ross,wmeyer@example.net,PROD4855,Backpack,Electronics,4,Works well,Good product. Theory visit ago benefit alone provide weight star coach.,2024-07-26,,89,Positive
CUST00040,John Sullivan,laurie27@example.net,PROD4888,Tablet,Home,4,Good product,Works well. Seat study development professor despite position view difficult argue rock position environment woman.,2025-01-27,44.0,44,Positive
CUST00041,Daniel Parker,joshua74@example.org,PROD6706,Tablet,Fashion,1,Waste of money,Waste of money. Leader where organization top probably rather call still open rest short.,2025-11-16,44.0,78,Critical
CUST00042,Jessica Morales,robertsondavid@example.org,PROD1926,Camera,Electronics,1,Terrible quality,Broken on arrival. Mean security good billion inside bill professor will.,2025-10-03,50.0,55,Critical
CUST00043,Pamela Phillips,sharon36@example.com,PROD9284,Smartphone,Fashion,5,,Loved it. Box able while or decade word scene whose dinner example environmental food show.,2025-11-25,22.0,36,Positive
CUST00044,Stephanie Adams,jack07@example.com,PROD6534,Backpack,Accessories,2,Poor quality,Poor quality. Wonder fly direction bed peace success service grow professor just risk necessary dream.,2024-08-24,50.0,86,Critical
CUST00045,Michelle Cervantes,timothy07@example.net,PROD4736,Laptop,Electronics,5,Loved it,Best purchase ever. Six fact data bit draw necessary sing your water term doctor.,2026-05-02,14.0,37,Positive
CUST00046,Robert Hansen,jamesbarajas@example.com,PROD7782,Headphones,Electronics,2,Not as expected,Arrived late. Center prepare something there seven happen check.,2024-10-04,37.0,53,Critical
CUST00047,Danielle Hamilton,christopher10@example.com,PROD3806,Headphones,Accessories,3,Decent quality,Average product. Know friend beautiful trip many time trip card past center bill the.,2025-07-10,29.0,33,Neutral
CUST00048,Kristen Wilson,kristen84@example.org,PROD8184,Tablet,Home,1,Very disappointed,Not working. Spend force its identify fill great since number.,2025-07-19,21.0,63,Critical
CUST00049,Michael Harmon,jvasquez@example.com,PROD5221,Backpack,Accessories,3,Neutral experience,Decent quality. Hundred range generation federal animal spend rock.,2025-02-27,39.0,49,Neutral
CUST00050,Brian Morris,katrina49@example.net,PROD3008,Smartphone,Electronics,1,Broken on arrival,Not working. Argue Democrat example bed yet friend.,2025-07-14,28.0,71,Critical
CUST00051,,aaron19@example.com,PROD6165,Headphones,Home,3,Works fine,Works fine. Boy summer lot example early much push plant edge member address security some.,2025-06-24,5.0,66,Neutral
CUST00052,Timothy Miranda,tgonzalez@example.org,PROD7307,Tablet,Accessories,3,Okay for the price,Works fine. Home fast over full air another key.,2025-05-16,49.0,89,Neutral
CUST00053,Amy Booth,nathanielhoffman@example.com,PROD8892,Shoes,Home,1,Broken on arrival,Waste of money. Reduce and last rate field civil eat alone point society him.,2026-02-03,41.0,43,Critical
CUST00054,April Gonzalez,leonpatricia@example.com,PROD8568,Backpack,Home,5,Amazing quality,Highly recommended. Play yes civil scientist type air unit suggest your speak trouble.,2024-07-17,43.0,88,Positive
CUST00055,Jodi Shelton,finleybrooke@example.net,PROD4781,Headphones,Fashion,3,Okay for the price,Neutral experience. Game moment upon glass defense deal crime listen wish run skin society free.,2026-01-15,25.0,68,Neutral
CUST00056,,ijohnson@example.org,PROD9703,Watch,Accessories,5,Amazing quality,Amazing quality. Science none training section choose stay couple.,2024-12-11,,97,Positive
CUST00057,Amber Hunter,kbell@example.net,PROD6706,Backpack,Accessories,3,Works fine,Neutral experience. Culture leader where anything writer price seat inside.,2026-01-26,38.0,85,Neutral
CUST00058,Jonathan Clark,fsloan@example.net,PROD4163,Backpack,Electronics,5,Best purchase ever,Excellent product. Room join military defense boy employee send now.,2024-08-30,46.0,57,Positive
CUST00059,Nicholas Smith,knguyen@example.com,PROD1769,Laptop,Home,3,Decent quality,Average product. There democratic right environment even than week speak others million.,2025-07-10,5.0,62,Neutral
CUST00060,Jonathan Barnes,courtney38@example.com,PROD8327,Tablet,Home,2,Not as expected,Packaging damaged. Think also page later minute attorney economy score situation book be letter.,2024-09-30,7.0,47,Critical
CUST00061,Melissa Calderon,,PROD9425,Backpack,Electronics,4,Good product,Works well. North affect visit yard write leg practice national.,2026-07-03,22.0,57,Positive
CUST00062,Melissa Russell,margarettaylor@example.org,PROD1834,Shoes,Home,4,Nice quality,Satisfied with purchase. Hot them wind join plan style Mrs able happen from answer discuss window.,2024-10-02,3.0,82,Positive
CUST00063,Christine Fleming,andrew42@example.net,PROD9644,Tablet,Fashion,4,Nice quality,Recommended. Moment collection black back get suffer again those country ball social where.,2026-06-18,16.0,18,Positive
CUST00064,Brian Haley,,PROD3939,Headphones,Accessories,5,Loved it,Highly recommended. Network people real charge worker top father far place short chair.,2025-05-05,11.0,51,Positive
CUST00065,Gary Alexander,john29@example.com,PROD6200,Headphones,Accessories,4,Recommended,Satisfied with purchase. Sign chance debate similar south start happen spring within economy bank lawyer.,2024-08-07,50.0,89,Positive
CUST00066,Charles Thompson,kristenfoster@example.com,PROD1155,Headphones,Electronics,5,Amazing quality,Highly recommended. Fast pull different fact history traditional task per present study.,2025-04-16,28.0,80,Positive
CUST00067,Emily Adams,,PROD5473,Camera,Fashion,1,Broken on arrival,Very disappointed. Including ever less think expert project give market really.,2025-05-28,2.0,60,Critical
CUST00068,Sandra Herring,susanwells@example.com,PROD2896,Backpack,Fashion,2,Arrived late,Not as expected. Store man simple resource as management magazine pull brother police range.,2026-07-01,14.0,45,Critical
CUST00069,Travis Hill,davidgarcia@example.org,PROD1694,Camera,Home,2,Poor quality,Bad experience. Red this direction beautiful her toward.,2025-04-17,20.0,86,Critical
CUST00070,Brandi Molina,khensley@example.com,PROD6683,Laptop,Fashion,1,Broken on arrival,Broken on arrival. Case our affect tend serious keep visit occur into source model shoulder.,2025-10-28,,76,Critical
CUST00071,Patrick Gordon,josephamanda@example.org,PROD3649,Smartphone,Electronics,1,Terrible quality,Not working. Another work debate into detail southern leg care.,2025-11-19,6.0,25,Critical
CUST00072,Christina Cox,allentiffany@example.com,PROD7636,Tablet,Accessories,4,Recommended,Nice quality. Whom surface year reach million system world far.,2025-10-06,8.0,88,Positive
CUST00073,Robert Martin,matthewgarcia@example.org,PROD9319,Backpack,Home,2,Arrived late,Packaging damaged. Long pay position character generation item probably too first explain top more.,2025-12-22,18.0,81,Critical
CUST00074,Joseph Cline,danielle18@example.org,PROD4115,Camera,Accessories,4,Good product,Works well. Impact sport catch easy role thank camera full then opportunity.,2025-10-31,6.0,9,Positive
CUST00075,Melissa Torres,erin58@example.org,PROD7669,Headphones,Home,4,Good product,Nice quality. Interest score officer only environment thought marriage customer information management southern she.,2025-06-09,38.0,56,Positive
CUST00076,Jacob Harrison,davidbarr@example.net,PROD7108,Headphones,Home,2,Packaging damaged,Bad experience. Hair class during social thought within lawyer hair upon board notice artist.,2025-03-12,39.0,75,Critical
CUST00077,Juan Bass,manuel85@example.net,PROD7459,Tablet,Home,5,Amazing quality,,2024-10-14,5.0,60,Positive
CUST00078,Teresa Ward,sallypena@example.net,PROD6776,Watch,Home,2,Bad experience,,2024-09-16,12.0,33,Critical
CUST00079,Jennifer Jones,kellymorgan@example.net,PROD3450,Camera,Fashion,5,Best purchase ever,,2025-08-04,47.0,84,Positive
CUST00080,Victor Cooper,benjamin06@example.com,PROD5286,Smartphone,Accessories,5,Amazing quality,Highly recommended. Affect decide near gun us smile.,2025-03-05,45.0,57,Positive
CUST00081,Lori Ray,dana81@example.com,PROD6072,Headphones,Accessories,5,Best purchase ever,Loved it. Particularly enough foreign stage serve major become idea make remember girl.,2025-02-20,20.0,64,Positive
CUST00082,Christian Powell,daniel42@example.org,PROD8897,Watch,Accessories,1,Waste of money,Very disappointed. Mr yet break land often school Mrs happen court other bar.,2025-01-25,29.0,67,Critical
CUST00083,Lance Wolf,taylor03@example.net,PROD9798,Backpack,Home,4,Nice quality,Nice quality. Story believe age natural pretty do create glass.,2025-05-07,45.0,55,Positive
CUST00084,Matthew Myers,rsweeney@example.net,PROD7376,Laptop,Home,5,Amazing quality,Highly recommended. The cultural ground eye discover face just news enough improve market wide wait.,2025-06-17,16.0,97,Positive
CUST00085,Alison Chandler,wigginsmakayla@example.com,PROD1169,Shoes,Accessories,2,Packaging damaged,Arrived late. Real leader natural food look final team trouble couple agency meet.,2024-08-19,32.0,74,Critical
CUST00086,Mary Collins,coreyrichardson@example.net,PROD7878,Camera,Accessories,5,Highly recommended,Excellent product. Mind that man energy recent election this over of space try office.,2026-02-03,7.0,19,Positive
CUST00087,Donna Warren,ewright@example.com,PROD4912,Smartphone,Fashion,1,Not working,Terrible quality. Coach road knowledge international itself compare exist.,2025-09-06,5.0,56,Critical
CUST00088,Kevin Ramsey,nmata@example.com,PROD4979,Shoes,Electronics,5,Highly recommended,Highly recommended. More television rise painting task pressure old car.,2025-01-29,45.0,71,Positive
CUST00089,Emily King DVM,lopeztheresa@example.com,PROD7847,Shoes,Accessories,5,Highly recommended,Excellent product. Pattern serve key base brother build forget.,2025-04-27,41.0,57,Positive
CUST00090,Jessica Ramirez,vlopez@example.org,PROD5256,Laptop,Accessories,3,Works fine,Decent quality. Plan me relationship finish PM season upon consumer.,2024-10-02,12.0,25,Neutral
CUST00091,Nicole Thompson,fjones@example.com,PROD1590,Backpack,Home,2,Arrived late,Arrived late. Without pass direction box certain end including step career plant compare.,2026-05-28,24.0,49,Critical
CUST00092,,erikasantana@example.org,PROD9325,Laptop,Home,1,Very disappointed,Broken on arrival. Others share choose hard author although force.,2026-04-08,34.0,100,Critical
CUST00093,Stephanie Fitzgerald,tgarcia@example.org,PROD7606,Shoes,Accessories,3,Okay for the price,Average product. Different let lead carry learn executive believe practice after game building.,2026-02-21,13.0,39,Neutral
CUST00094,Jon James,riverabryan@example.org,PROD6310,Camera,Fashion,1,Waste of money,Broken on arrival. Certain term poor capital particularly responsibility citizen management fast despite.,2025-06-30,,80,Critical
CUST00095,Jason Aguirre,jessicachurch@example.net,PROD2207,Shoes,Fashion,4,Satisfied with purchase,Good product. Wind education for support example seem read drop color serious become finally.,2024-10-17,2.0,37,Positive
CUST00096,Brandy Davenport,hannah99@example.com,PROD4036,Headphones,Accessories,5,Best purchase ever,Loved it. Either region yourself follow old term southern south behavior receive listen character develop.,2026-01-15,48.0,75,Positive
CUST00097,Wendy Collins,darrellmeyers@example.com,PROD5714,Backpack,Electronics,1,Very disappointed,Terrible quality. Himself assume kind phone writer show Mr they response.,2026-06-25,33.0,64,Critical
CUST00098,Laura Cox,bhayden@example.com,PROD8275,Smartphone,Electronics,2,Poor quality,Packaging damaged. Wrong knowledge interview where bank gas participant direction see owner.,2024-07-21,21.0,47,Critical
CUST00099,Jennifer Estes,judybutler@example.net,PROD8150,Shoes,Fashion,1,Waste of money,Very disappointed. Quickly pass type least house out college open theory sport final treat.,2025-09-15,41.0,53,Critical
CUST00100,Alexander Lowery,anitasexton@example.net,PROD3625,Smartphone,Fashion,3,Neutral experience,Decent quality. Main fly strong memory open box.,2025-08-13,47.0,48,Neutral
CUST00101,Adam Carlson,,PROD8149,Smartphone,Fashion,3,Works fine,,2024-10-11,46.0,48,Neutral
CUST00102,Nicole Hill,jenniferyoung@example.org,PROD6693,Watch,Home,5,Loved it,Excellent product. Example parent phone knowledge so within truth outside also it investment information today.,2025-04-20,32.0,65,Positive
CUST00103,Laura Bruce,kirkmegan@example.com,PROD6883,Tablet,Fashion,3,Works fine,Average product. Air knowledge system best send indeed will.,2025-12-17,12.0,52,Neutral
CUST00104,Debra Wallace,lucas56@example.net,PROD3427,Backpack,Home,4,Satisfied with purchase,Works well. Business science real would stock hard top wind sometimes sure firm.,2024-10-31,39.0,43,Positive
CUST00105,Alicia Lawson,alyssahuff@example.com,PROD5013,Smartphone,Electronics,5,Excellent product,Loved it. Build compare bad crime week rise according.,2024-11-12,17.0,97,Positive
CUST00106,Kelly Jimenez,weeksgina@example.com,PROD6656,Laptop,Electronics,3,Decent quality,Average product. Challenge material generation strategy child position serious hold voice end.,2025-09-24,14.0,37,Neutral
CUST00107,Jessica Brown,david17@example.com,PROD5312,Watch,Electronics,3,Average product,Works fine. Work consumer tonight build best option good same story plan down site.,2025-02-05,19.0,48,Neutral
CUST00108,Kathy Bright,rrussell@example.net,PROD5044,Headphones,Electronics,3,,,2026-04-27,43.0,85,Neutral
CUST00109,Kelly Sanchez,kbell@example.com,PROD5028,Laptop,Home,4,Satisfied with purchase,Recommended. Size health seem scientist green teacher green.,2024-12-19,50.0,51,Positive
CUST00110,Daniel Schmidt,bellmelanie@example.org,PROD7472,Laptop,Home,1,Broken on arrival,Terrible quality. See nothing final early mother fund budget.,2026-04-05,40.0,99,Critical
CUST00111,Melissa Hill,ywalker@example.net,PROD7381,Laptop,Electronics,4,Satisfied with purchase,,2024-12-30,11.0,48,Positive
CUST00112,Amber Reynolds,michaelwilson@example.net,PROD5547,Laptop,Home,1,Terrible quality,Not working. Nice low seem ball concern let move store above evidence establish mouth success.,2025-09-10,41.0,78,Critical
CUST00113,Jose Moreno,laura44@example.com,PROD4264,Backpack,Accessories,5,Best purchase ever,Excellent product. Contain be number example both network hotel minute success.,2025-11-06,24.0,48,Positive
CUST00114,Jessica Stephens,alicia74@example.com,PROD9878,Headphones,Home,4,Nice quality,Good product. People relationship choice either call final.,2025-12-18,37.0,43,Positive
CUST00115,Erin Alexander,tonya32@example.com,PROD2639,Headphones,Accessories,3,Okay for the price,Decent quality. Certainly field accept process third firm about future church charge.,2026-03-05,30.0,55,Neutral
CUST00116,Mark White,rebecca65@example.com,PROD4418,Headphones,Home,1,Terrible quality,Very disappointed. Actually image resource run physical night answer painting kind.,2026-04-16,47.0,67,Critical
CUST00117,Randy Clark,durhamdavid@example.org,PROD2855,Watch,Electronics,1,Broken on arrival,Waste of money. Camera same bed air sometimes nice evening real those reduce white poor high.,2024-12-29,48.0,70,Critical
CUST00118,Sophia Murphy,harrisalexandria@example.net,PROD4464,Watch,Electronics,2,Arrived late,Bad experience. Health couple area Congress consider argue.,2025-05-28,23.0,43,Critical
CUST00119,Catherine Mann,rali@example.org,PROD3059,Laptop,Fashion,4,Nice quality,Satisfied with purchase. Common wait ball east capital represent main war.,2025-05-15,7.0,65,Positive
CUST00120,Zachary Black,jessicablake@example.org,PROD8805,Smartphone,Electronics,4,Recommended,Works well. Answer it artist course have ago bit seven star news present human quickly.,2026-05-03,3.0,67,Positive
CUST00121,Paul Hernandez,emurphy@example.org,PROD1100,Tablet,Electronics,4,Nice quality,Satisfied with purchase. Four ability term of you responsibility speak week.,2025-05-11,48.0,64,Positive
CUST00122,David Douglas,josephmcdonald@example.net,PROD8343,Shoes,Home,2,Packaging damaged,Not as expected. Training career fill gas scientist old door purpose thus production difference indeed animal.,2024-11-18,11.0,36,Critical
CUST00123,Jason Cook,meyerbenjamin@example.net,PROD9006,Backpack,Home,1,Waste of money,Waste of money. Need action career later debate second court sit.,2025-12-27,20.0,37,Critical
CUST00124,Deborah Gray,crosschristina@example.net,PROD4704,Backpack,Fashion,2,Not as expected,Bad experience. Star late marriage apply particularly another sound remember own seven long.,2025-09-21,35.0,45,Critical
CUST00125,Benjamin Kelly,rlang@example.net,PROD9217,Headphones,Electronics,1,Broken on arrival,Waste of money. American goal seek find begin back.,2025-05-06,3.0,99,Critical
CUST00126,Sandra Burgess,john@@gmail..com,PROD5914,Backpack,Fashion,2,Not as expected,Arrived late. Explain heavy question person trade pay beyond forget.,2025-05-14,34.0,43,Critical
CUST00127,Mary Curtis,christopher25@example.org,PROD3249,Tablet,Home,3,Works fine,Decent quality. Group through back message share last store whole event season each anyone admit.,2025-10-04,24.0,37,Neutral
CUST00128,David Watts,james26@example.com,PROD4369,Smartphone,Accessories,2,Arrived late,Bad experience. Enough know several your carry member opportunity.,2025-08-20,49.0,94,Critical
CUST00129,Paul Hill MD,vnunez@example.org,PROD2625,Camera,Electronics,2,Poor quality,Not as expected. Director idea position imagine water and particular I again.,2025-03-26,24.0,88,Critical
CUST00130,Joel Martinez,karen26@example.com,PROD3292,Laptop,Fashion,2,Poor quality,,2025-02-13,,65,Critical
CUST00131,James Smith,,PROD7585,Watch,Electronics,5,Loved it,Loved it. Party spring your determine produce matter machine prove least later.,2025-11-25,19.0,40,Positive
CUST00132,,martinkelli@example.com,PROD7572,Laptop,Fashion,1,Terrible quality,Waste of money. Decision eye woman cut PM eat sound yourself notice yet choice contain.,2025-05-18,33.0,36,Critical
CUST00133,Robert Smith,ycarpenter@example.com,PROD3914,Shoes,Home,1,Broken on arrival,Terrible quality. Family bad thus imagine economy as past rock provide down beyond near deal.,2026-04-09,20.0,38,Critical
CUST00134,Alexis Boyle,owensmichael@example.com,PROD9726,Laptop,Home,3,Okay for the price,Works fine. Town do executive character shoulder support.,2024-08-17,14.0,91,Neutral
CUST00135,Donna Powell,hernandezalexis@example.org,PROD8431,Tablet,Accessories,2,Arrived late,Poor quality. Continue its party interview Mr down current recently impact next seven side.,2026-04-13,15.0,50,Critical
CUST00136,Matthew Moran,vanessa02@example.com,PROD2285,Tablet,Accessories,1,Terrible quality,Very disappointed. Above onto paper short level week treat treatment impact serve paper anyone those.,2024-12-17,23.0,52,Critical
CUST00137,Kevin Roberts,lindapage@example.net,PROD9730,Backpack,Home,4,Satisfied with purchase,Recommended. Again store product where executive mind want interesting.,2024-09-30,17.0,96,Positive
CUST00138,Amber Lindsey,marcusbarrett@example.com,PROD6682,Watch,Fashion,2,Arrived late,Bad experience. List environment voice forward drug person body.,2025-03-10,48.0,55,Critical
CUST00139,Maria Peters,jim24@example.org,PROD7910,Laptop,Electronics,5,Excellent product,Highly recommended. Several specific all theory management order line player certain activity will rate.,2025-05-20,37.0,80,Positive
CUST00140,Tasha Wong,emily10@example.org,PROD8970,Camera,Accessories,3,Average product,Neutral experience. Country age particularly effect point remain study rich either course address gun.,2025-10-10,19.0,24,Neutral
CUST00141,Miranda Hoffman,davidphillips@example.com,PROD4374,Watch,Electronics,2,Arrived late,Arrived late. Wait authority garden budget reflect even book.,2026-04-12,29.0,65,Critical
CUST00142,Joshua Pineda,iharris@example.net,PROD1303,Smartphone,Electronics,5,Highly recommended,Best purchase ever. Local perhaps girl deep great push between about sister affect.,2025-04-05,17.0,52,Positive
CUST00143,Alyssa Ruiz,spencerheather@example.com,PROD8934,Laptop,Accessories,4,Good product,Good product. Must whose meet others trial entire.,2025-11-29,31.0,89,Positive
CUST00144,Natasha Barker,gilmoredaniel@example.net,PROD7604,Laptop,Home,5,Best purchase ever,Loved it. Hold professional air civil seek treat nation memory hair likely smile least technology.,2024-11-04,20.0,70,Positive
CUST00145,Jennifer Hill,westbrittany@example.net,PROD9202,Shoes,Electronics,4,Satisfied with purchase,Good product. Simple though again most land I artist drive make.,2025-10-06,29.0,90,Positive
CUST00146,Beverly Raymond,maryblevins@example.com,PROD3490,Smartphone,Electronics,2,Packaging damaged,Bad experience. Be by still participant set environment sure order ever send right collection senior.,2025-07-22,0.0,5,Critical
CUST00147,Marvin Thomas,hillmatthew@example.org,PROD9645,Camera,Home,2,Arrived late,Arrived late. Claim open though tonight approach church century series late.,2025-01-12,7.0,91,Critical
CUST00148,William Ortega,garcialaura@example.net,PROD1939,Laptop,Electronics,1,Waste of money,Terrible quality. Bill organization almost would which interview including standard tree we traditional.,2026-02-03,48.0,70,Critical
CUST00149,Allison Barnes,tracifigueroa@example.net,PROD2998,Watch,Accessories,3,,Neutral experience. Unit if own sign wonder everything state recognize son.,2025-07-30,31.0,81,Neutral
CUST00150,Janet Murray,vhernandez@example.net,PROD9473,Camera,Accessories,2,Not as expected,Arrived late. Operation but these step close serve event against easy.,2025-05-29,40.0,41,Critical
CUST00151,Kelly Mejia, customer#mail.com ,PROD6465,Camera,Home,2,Arrived late,Not as expected. Team describe say prepare candidate century American decade.,2024-10-31,48.0,85,Critical
CUST00152,Michele Sanders,scottthomas@example.com,PROD4348,Headphones,Accessories,2,Not as expected,Bad experience. Build field base save TV support might just present activity.,2026-02-16,16.0,31,Critical
CUST00153,Robin Foster,rachelbrown@example.net,PROD5999,Smartphone,Home,5,Highly recommended,Excellent product. Authority environmental my state southern story piece country woman half water where.,2026-04-22,32.0,80,Positive
CUST00154,,ruth95@example.net,PROD9315,Backpack,Fashion,2,Packaging damaged,Poor quality. Wind eight direction should year across sometimes couple medical.,2024-12-04,10.0,45,Critical
CUST00155,Micheal Hopkins,yfrost@example.net,PROD5832,Shoes,Fashion,3,Okay for the price,Neutral experience. Country red mother weight man themselves do set once thought give indeed.,2025-08-02,45.0,54,Neutral
CUST00156,Ruben Stewart,bdecker@example.org,PROD9994,Smartphone,Electronics,4,Satisfied with purchase,Satisfied with purchase. Tree thank responsibility idea once animal forward sense church meet yet.,2026-01-27,28.0,99,Positive
CUST00157,Sheila Kelly,scottwade@example.net,PROD8055,Smartphone,Accessories,1,Not working,Waste of money. Professor himself over capital happen interesting budget process father decision.,2025-06-18,15.0,37,Critical
